condition,trial,sample,logical_neuron,replica,physical_coordinate,nominal_input_s,first_spike_s,fired,spike_count
ttfs_M1_local-pool_dedicated,0,7,5,0,129,2.4e-05,,0,0
ttfs_M1_local-pool_dedicated,0,7,6,0,257,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,7,7,0,385,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,7,8,0,2,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,7,9,0,130,2.4e-05,,0,0
ttfs_M1_local-pool_dedicated,0,7,10,0,258,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,7,11,0,386,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,7,12,0,3,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,7,13,0,131,2.4e-05,,0,0
ttfs_M1_local-pool_dedicated,0,7,14,0,259,2.4999999999999998e-05,3.4784e-05,1,1
ttfs_M1_local-pool_dedicated,0,7,15,0,387,2.4999999999999998e-05,3.3192e-05,1,1
ttfs_M1_local-pool_dedicated,0,7,16,0,4,2.4999999999999998e-05,2.9999999999999994e-05,1,1
ttfs_M1_local-pool_dedicated,0,7,17,0,132,2.4999999999999998e-05,3.497599999999999e-05,1,1
ttfs_M1_local-pool_dedicated,0,7,18,0,260,2.4999999999999998e-05,3.0544e-05,1,1
ttfs_M1_local-pool_dedicated,0,7,19,0,388,2.4e-05,,0,0
ttfs_M1_local-pool_dedicated,0,7,20,0,5,2.4999999999999998e-05,3.1383999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,7,21,0,133,2.4e-05,,0,0
ttfs_M1_local-pool_dedicated,0,7,22,0,261,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,7,23,0,389,2.4999999999999998e-05,3.0856e-05,1,1
ttfs_M1_local-pool_dedicated,0,7,24,0,6,2.4999999999999998e-05,3.0839999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,7,25,0,134,2.4999999999999998e-05,3.1599999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,7,26,0,262,2.4999999999999998e-05,3.0799999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,7,27,0,390,2.4999999999999998e-05,3.0015999999999995e-05,1,1
