primitive,stage,split,device,physical_coordinate,input_code,ideal_variable,sample_count,mean,variance,miss_rate,multiple_spike_rate,saturation_rate
phi-np,dynamic,calibration,3,1,15.0,15.0,128,1.2375937500000038e-05,3.551798031496156e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,16.0,16.0,128,1.2077937500000037e-05,4.814437401575095e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,17.0,17.0,128,1.1911375000000035e-05,3.475311811023709e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,18.0,18.0,128,1.1750625000000038e-05,1.8583291338583785e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,19.0,19.0,128,1.1758812500000035e-05,4.487870472441198e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,20.0,20.0,128,1.1535312500000036e-05,3.9551019685041255e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,21.0,21.0,128,1.1398937500000038e-05,2.2968814960633232e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,22.0,22.0,128,1.1238250000000036e-05,3.560409448818912e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,23.0,23.0,128,1.1088312500000038e-05,3.0584342519687897e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,24.0,24.0,128,1.0880625000000038e-05,2.610152755905758e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,25.0,25.0,128,1.0863875000000037e-05,4.312086614173368e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,26.0,26.0,128,1.062787500000004e-05,2.3806976377953562e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,27.0,27.0,128,1.0581812500000039e-05,3.5721791338582904e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,28.0,28.0,128,1.0502312500000038e-05,2.1202295275590877e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,29.0,29.0,128,1.0312250000000037e-05,3.81943307086608e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,30.0,30.0,128,1.0204062500000036e-05,2.866796456693086e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,3,1,31.0,31.0,128,9.970875000000039e-06,3.4786503937010764e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,0.0,0.0,128,2.0770750000000038e-05,1.3712674015747547e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,1.0,1.0,128,2.0521437500000033e-05,1.5950657874016427e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,2.0,2.0,128,2.0240375000000036e-05,1.351356062992153e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,3.0,3.0,128,1.9779937500000037e-05,1.5706909842520694e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,4.0,4.0,128,1.936712500000004e-05,1.8304225196850831e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,5.0,5.0,128,1.8984687500000038e-05,1.1427076771653442e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,6.0,6.0,128,1.8685875000000036e-05,1.5845541732283493e-13,0.0,0.0,0.0
