candidate_id,constant_current_code,error,held_out_validated,phi_nl_best_coordinate,phi_nl_best_sigma_s,phi_nl_best_signal_span_s,phi_nl_calibration_median_rt,phi_nl_calibration_minimum_sigma_s,phi_nl_held_out_median_rt,phi_nl_held_out_minimum_rt,phi_nl_held_out_validated,phi_np_best_coordinate,phi_np_best_sigma_s,phi_np_best_signal_span_s,phi_np_calibration_median_rt,phi_np_calibration_minimum_sigma_s,phi_np_held_out_median_rt,phi_np_held_out_minimum_rt,phi_np_held_out_validated,precharge_input_fan_in,precharge_weight_maximum,primitive,ramp_stop_s,run,selection_eligible,selection_objective_rt,status,threshold_code,validation_objective_rt
cc0064_th0600_stop325.00us_fanin01_w63,64,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,0.000325,broad_current_threshold,,,failed,600,
cc0064_th0700_stop325.00us_fanin01_w63,64,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,0.000325,broad_current_threshold,,,failed,700,
cc0064_th0800_stop325.00us_fanin01_w63,64,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,0.000325,broad_current_threshold,,,failed,800,
cc0064_th0400_stop325.00us_fanin01_w63,64,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,0.000325,broad_low_threshold,,,failed,400,
cc0064_th0500_stop325.00us_fanin01_w63,64,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,0.000325,broad_low_threshold,,,failed,500,
cc0128_th0300_stop850.00us_fanin01_w63,128,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,0.00085,calix_current128_256_stop850,,,failed,300,
cc0128_th0350_stop850.00us_fanin01_w63,128,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,0.00085,calix_current128_256_stop850,,,failed,350,
cc0128_th0400_stop850.00us_fanin01_w63,128,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,0.00085,calix_current128_256_stop850,,,failed,400,
cc0128_th0500_stop850.00us_fanin01_w63,128,,False,,,,,,,,,390,3.982451975019075e-06,1.8744666666666352e-05,1.1191858432040533,3.4351561374836484e-06,1.1154997982344024,0.21245787112880862,False,1,63,phi-np,0.00085,calix_current128_256_stop850,True,1.1191858432040533,complete,500,
cc0256_th0300_stop850.00us_fanin01_w63,256,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,0.00085,calix_current128_256_stop850,,,failed,300,
cc0256_th0350_stop850.00us_fanin01_w63,256,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,0.00085,calix_current128_256_stop850,,,failed,350,
cc0256_th0400_stop850.00us_fanin01_w63,256,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,0.00085,calix_current128_256_stop850,,,failed,400,
cc0256_th0500_stop850.00us_fanin01_w63,256,,False,,,,,,,,,390,1.106548226593482e-06,9.746916666666514e-06,0.1757343436853756,1.0806390701803076e-06,0.1954945695319396,0.11352802783035654,False,1,63,phi-np,0.00085,calix_current128_256_stop850,True,0.1757343436853756,complete,500,
cc0512_th0500_stop850.00us_fanin01_w63,512,,False,,,,,,,,,273,7.605412108054286e-07,7.4787499999998155e-06,0.11658663143591637,3.846650491013678e-07,0.13888867724548945,0.10169362671642285,True,1,63,phi-np,0.00085,calix_current512_768_1022,True,0.11658663143591637,complete,500,
cc0512_th0550_stop850.00us_fanin01_w63,512,,False,,,,,,,,,273,8.862255544350185e-07,8.727533333333268e-06,0.1369218090057987,6.572030296813142e-07,0.1341604883759845,0.10154364590625359,False,1,63,phi-np,0.00085,calix_current512_768_1022,True,0.1369218090057987,complete,550,
